,x,y
481,"I thought Nick was conspicuous, but instead he was very [MASK].",invisible
482,"I thought William was tall, but instead he was very [MASK].",short
483,"I thought Eric was beautiful, but instead he was very [MASK].",ugly
484,"I thought Tony was negative, but instead he was very [MASK].",positive
485,"I thought Greg was cautious, but instead he was very [MASK].",brave
486,"I thought James was smart, but instead he was very [MASK].",stupid
487,"I thought George was available, but instead he was very [MASK].",unavailable
488,"I thought Ian was much, but instead he was very [MASK].",little
489,"I thought Thomas was beautiful, but instead he was very [MASK].",ugly
490,"I thought George was close, but instead he was very [MASK].",distant
491,"I thought Howard was strong, but instead he was very [MASK].",weak
492,"I thought Andrew was below, but instead he was very [MASK].",upstairs
493,"I thought Dick was expensive, but instead he was very [MASK].",cheap
494,"I thought Alex was well, but instead he was very [MASK].",ill
495,"I thought Don was careful, but instead he was very [MASK].",careless
496,"I thought Joseph was optimistic, but instead he was very [MASK].",pessimistic
497,"I thought Joe was unhappy, but instead he was very [MASK].",happy
498,"I thought Tim was made, but instead he was very [MASK].",break
499,"I thought Carl was big, but instead he was very [MASK].",small
500,"I thought Colin was difficult, but instead he was very [MASK].",easy
501,"I thought Frank was dirty, but instead he was very [MASK].",clean
502,"I thought Christopher was shown, but instead he was very [MASK].",hide
503,"I thought Keith was strange, but instead he was very [MASK].",familiar
504,"I thought Ron was solid, but instead he was very [MASK].",liquid
505,"I thought Steven was broken, but instead he was very [MASK].",advance
506,"I thought Patrick was dirty, but instead he was very [MASK].",clean
507,"I thought Kevin was evil, but instead he was very [MASK].",good
508,"I thought Jay was stupid, but instead he was very [MASK].",intelligent
509,"I thought Daniel was young, but instead he was very [MASK].",old
510,"I thought Ed was bad, but instead he was very [MASK].",good
511,"I thought Samuel was pessimistic, but instead he was very [MASK].",optimistic
512,"I thought Hugh was unpredictable, but instead he was very [MASK].",predictable
513,"I thought Jack was humble, but instead he was very [MASK].",proud
514,"I thought Charles was old, but instead he was very [MASK].",young
515,"I thought Richard was active, but instead he was very [MASK].",passive
516,"I thought George was afraid, but instead he was very [MASK].",fearless
517,"I thought Dan was defensive, but instead he was very [MASK].",offensive
518,"I thought Sam was tough, but instead he was very [MASK].",tender
519,"I thought Nick was emotional, but instead he was very [MASK].",cerebral
520,"I thought Kevin was worthless, but instead he was very [MASK].",valuable
521,"I thought Dave was familiar, but instead he was very [MASK].",strange
522,"I thought Jonathan was dangerous, but instead he was very [MASK].",safe
523,"I thought Edward was quiet, but instead he was very [MASK].",active
524,"I thought Richard was courageous, but instead he was very [MASK].",fearful
525,"I thought Tim was invisible, but instead he was very [MASK].",visible
526,"I thought Scott was big, but instead he was very [MASK].",small
527,"I thought Jeff was healthy, but instead he was very [MASK].",unhealthy
528,"I thought Hugh was tall, but instead he was very [MASK].",short
529,"I thought Thomas was friendly, but instead he was very [MASK].",hostile
530,"I thought Jim was hard, but instead he was very [MASK].",soft
531,"I thought Bill was hungry, but instead he was very [MASK].",thirsty
532,"I thought Alan was found, but instead he was very [MASK].",lost
533,"I thought Bobby was wise, but instead he was very [MASK].",foolish
534,"I thought Bruce was insecure, but instead he was very [MASK].",secure
535,"I thought Greg was dirty, but instead he was very [MASK].",clean
536,"I thought Edward was ill, but instead he was very [MASK].",good
537,"I thought George was individual, but instead he was very [MASK].",common
538,"I thought Johnny was beautiful, but instead he was very [MASK].",ugly
539,"I thought Alfred was passive, but instead he was very [MASK].",active
540,"I thought Jason was worthless, but instead he was very [MASK].",valuable
541,"I thought Francis was solid, but instead he was very [MASK].",liquid
542,"I thought Donald was polite, but instead he was very [MASK].",rude
543,"I thought Howard was new, but instead he was very [MASK].",old
544,"I thought Simon was bright, but instead he was very [MASK].",dull
545,"I thought Dan was difficult, but instead he was very [MASK].",easy
546,"I thought Tom was passive, but instead he was very [MASK].",active
547,"I thought Eric was rich, but instead he was very [MASK].",poor
548,"I thought Charlie was difficult, but instead he was very [MASK].",easy
549,"I thought Philip was strange, but instead he was very [MASK].",familiar
550,"I thought Brian was strange, but instead he was very [MASK].",familiar
551,"I thought Stephen was intense, but instead he was very [MASK].",mild
552,"I thought Richard was evil, but instead he was very [MASK].",good
553,"I thought Johnny was beautiful, but instead he was very [MASK].",ugly
554,"I thought Ken was tough, but instead he was very [MASK].",tender
555,"I thought Edwin was expensive, but instead he was very [MASK].",cheap
556,"I thought George was careful, but instead he was very [MASK].",careless
557,"I thought Mike was insecure, but instead he was very [MASK].",secure
558,"I thought Bruce was careful, but instead he was very [MASK].",careless
559,"I thought Daniel was simple, but instead he was very [MASK].",complex
560,"I thought Sam was safe, but instead he was very [MASK].",dangerous
561,"I thought Jerry was ugly, but instead he was very [MASK].",beautiful
562,"I thought Simon was smart, but instead he was very [MASK].",stupid
563,"I thought Harold was quiet, but instead he was very [MASK].",active
564,"I thought Bill was private, but instead he was very [MASK].",public
565,"I thought Donald was conservative, but instead he was very [MASK].",liberal
566,"I thought Larry was broken, but instead he was very [MASK].",advance
567,"I thought Ken was similar, but instead he was very [MASK].",different
568,"I thought Gary was new, but instead he was very [MASK].",old
569,"I thought Edward was old, but instead he was very [MASK].",young
570,"I thought Roger was perfect, but instead he was very [MASK].",imperfect
571,"I thought James was strong, but instead he was very [MASK].",weak
572,"I thought Albert was courageous, but instead he was very [MASK].",fearful
573,"I thought Steven was private, but instead he was very [MASK].",public
574,"I thought Adam was optimistic, but instead he was very [MASK].",pessimistic
575,"I thought Patrick was different, but instead he was very [MASK].",similar
576,"I thought Colin was conservative, but instead he was very [MASK].",progressive
577,"I thought Scott was available, but instead he was very [MASK].",unavailable
578,"I thought Bill was complex, but instead he was very [MASK].",simple
579,"I thought Adam was courageous, but instead he was very [MASK].",fearful
580,"I thought Don was proud, but instead he was very [MASK].",humble
581,"I thought Anthony was here, but instead he was very [MASK].",there
582,"I thought Joe was effective, but instead he was very [MASK].",ineffective
583,"I thought Brian was unstable, but instead he was very [MASK].",stable
584,"I thought Adam was much, but instead he was very [MASK].",little
585,"I thought Ralph was bad, but instead he was very [MASK].",good
586,"I thought Ian was sweet, but instead he was very [MASK].",dry
587,"I thought Dave was hopeful, but instead he was very [MASK].",hopeless
588,"I thought Ron was shown, but instead he was very [MASK].",hide
589,"I thought Harry was courageous, but instead he was very [MASK].",fearful
590,"I thought Bob was patient, but instead he was very [MASK].",impatient
591,"I thought Dan was unknown, but instead he was very [MASK].",known
592,"I thought Johnny was conservative, but instead he was very [MASK].",progressive
593,"I thought Edwin was weak, but instead he was very [MASK].",strong
594,"I thought Fred was uncomfortable, but instead he was very [MASK].",comfortable
595,"I thought Roy was made, but instead he was very [MASK].",break
596,"I thought Al was courageous, but instead he was very [MASK].",fearful
597,"I thought Patrick was slow, but instead he was very [MASK].",fast
598,"I thought Alex was quiet, but instead he was very [MASK].",active
599,"I thought Larry was strong, but instead he was very [MASK].",weak
600,"Donald is strange, while Scott is not strange. Scott is [MASK].",familiar
601,"Matthew is courageous, while Tim is not courageous. Tim is [MASK].",fearful
602,"Jason is professional, while Gary is not professional. Gary is [MASK].",amateur
603,"Tim is humble, while Bob is not humble. Bob is [MASK].",proud
604,"Kenneth is hard, while Jim is not hard. Jim is [MASK].",soft
605,"Brian is confident, while Colin is not confident. Colin is [MASK].",shy
606,"Dan is unknown, while Jim is not unknown. Jim is [MASK].",known
607,"Arthur is gone, while Frank is not gone. Frank is [MASK].",come
608,"Dan is fat, while Benjamin is not fat. Benjamin is [MASK].",lean
609,"Joseph is dangerous, while Patrick is not dangerous. Patrick is [MASK].",safe
610,"Andrew is shy, while Matthew is not shy. Matthew is [MASK].",confident
611,"William is poor, while Fred is not poor. Fred is [MASK].",rich
612,"Michael is invisible, while Gary is not invisible. Gary is [MASK].",visible
613,"Lawrence is sick, while Samuel is not sick. Samuel is [MASK].",well
614,"Roy is shown, while Nick is not shown. Nick is [MASK].",hide
615,"Kevin is stupid, while Philip is not stupid. Philip is [MASK].",smart
616,"Eric is confident, while Jerry is not confident. Jerry is [MASK].",shy
617,"Joseph is functional, while Gary is not functional. Gary is [MASK].",organic
618,"Donald is intelligent, while Mike is not intelligent. Mike is [MASK].",stupid
619,"Carl is ill, while Eric is not ill. Eric is [MASK].",good
620,"Tony is tough, while Dan is not tough. Dan is [MASK].",tender
621,"Ryan is careful, while Robert is not careful. Robert is [MASK].",careless
622,"Philip is positive, while Daniel is not positive. Daniel is [MASK].",negative
623,"Lawrence is poor, while Edward is not poor. Edward is [MASK].",rich
624,"Jerry is proud, while Bruce is not proud. Bruce is [MASK].",humble
625,"Kevin is safe, while Edwin is not safe. Edwin is [MASK].",dangerous
626,"Jonathan is emotional, while George is not emotional. George is [MASK].",intellectual
627,"Jack is courageous, while Walter is not courageous. Walter is [MASK].",fearful
628,"Tom is stupid, while James is not stupid. James is [MASK].",smart
629,"Francis is nice, while Greg is not nice. Greg is [MASK].",nasty
630,"Walter is expensive, while Ed is not expensive. Ed is [MASK].",cheap
631,"Matthew is perfect, while Charlie is not perfect. Charlie is [MASK].",imperfect
632,"Ben is incomplete, while Anthony is not incomplete. Anthony is [MASK].",complete
633,"Dave is careful, while Arthur is not careful. Arthur is [MASK].",careless
634,"Edwin is stupid, while Christopher is not stupid. Christopher is [MASK].",smart
635,"Ian is humble, while Jeff is not humble. Jeff is [MASK].",proud
636,"Philip is unhappy, while William is not unhappy. William is [MASK].",happy
637,"Ed is cold, while Fred is not cold. Fred is [MASK].",hot
638,"Jason is weak, while Bobby is not weak. Bobby is [MASK].",strong
639,"James is clean, while Brian is not clean. Brian is [MASK].",dirty
640,"Richard is emotional, while Mark is not emotional. Mark is [MASK].",intellectual
641,"Roger is healthy, while David is not healthy. David is [MASK].",unhealthy
642,"Andrew is simple, while Peter is not simple. Peter is [MASK].",complex
643,"Ben is useless, while Jack is not useless. Jack is [MASK].",useful
644,"Donald is small, while Ken is not small. Ken is [MASK].",large
645,"Daniel is big, while Dick is not big. Dick is [MASK].",small
646,"Brian is quiet, while Jason is not quiet. Jason is [MASK].",active
647,"Harold is hopeful, while Arthur is not hopeful. Arthur is [MASK].",hopeless
648,"Simon is tough, while Anthony is not tough. Anthony is [MASK].",tender
649,"Dick is familiar, while Al is not familiar. Al is [MASK].",strange
650,"Tim is rude, while Matthew is not rude. Matthew is [MASK].",polite
651,"Don is friendly, while Paul is not friendly. Paul is [MASK].",hostile
652,"Carl is organic, while Christopher is not organic. Christopher is [MASK].",functional
653,"Richard is nice, while Ralph is not nice. Ralph is [MASK].",nasty
654,"Jason is optimistic, while Larry is not optimistic. Larry is [MASK].",pessimistic
655,"Frederick is unhappy, while Fred is not unhappy. Fred is [MASK].",happy
656,"David is bad, while Alex is not bad. Alex is [MASK].",good
657,"Roy is made, while Dave is not made. Dave is [MASK].",break
658,"Fred is brave, while Anthony is not brave. Anthony is [MASK].",timid
659,"David is dirty, while Kenneth is not dirty. Kenneth is [MASK].",clean
660,"Henry is afraid, while Tom is not afraid. Tom is [MASK].",fearless
661,"Daniel is cheap, while Ralph is not cheap. Ralph is [MASK].",expensive
662,"Ben is hopeful, while Howard is not hopeful. Howard is [MASK].",hopeless
663,"Roy is proud, while Christopher is not proud. Christopher is [MASK].",humble
664,"Jeff is intelligent, while Paul is not intelligent. Paul is [MASK].",stupid
665,"Al is useless, while Fred is not useless. Fred is [MASK].",useful
666,"Harry is hungry, while Ben is not hungry. Ben is [MASK].",thirsty
667,"Harry is proud, while Dan is not proud. Dan is [MASK].",humble
668,"Bob is lucky, while Anthony is not lucky. Anthony is [MASK].",unlucky
669,"Harold is perfect, while Francis is not perfect. Francis is [MASK].",imperfect
670,"Adam is young, while Matt is not young. Matt is [MASK].",old
671,"Adam is old, while Ian is not old. Ian is [MASK].",young
672,"Daniel is lucky, while Andrew is not lucky. Andrew is [MASK].",unlucky
673,"Bobby is incomplete, while Robert is not incomplete. Robert is [MASK].",complete
674,"Alex is smart, while Al is not smart. Al is [MASK].",stupid
675,"Scott is smart, while Matthew is not smart. Matthew is [MASK].",stupid
676,"Charlie is impatient, while Ralph is not impatient. Ralph is [MASK].",patient
677,"Hugh is powerless, while Philip is not powerless. Philip is [MASK].",powerful
678,"Billy is new, while Ian is not new. Ian is [MASK].",old
679,"Fred is bright, while James is not bright. James is [MASK].",dull
680,"Edward is old, while Ron is not old. Ron is [MASK].",young
681,"Dick is below, while Frederick is not below. Frederick is [MASK].",upstairs
682,"Bobby is broken, while Ryan is not broken. Ryan is [MASK].",advance
683,"James is conspicuous, while Donald is not conspicuous. Donald is [MASK].",invisible
684,"Frederick is tall, while James is not tall. James is [MASK].",short
685,"Harry is safe, while George is not safe. George is [MASK].",dangerous
686,"Jeff is bright, while Simon is not bright. Simon is [MASK].",dull
687,"Frank is smart, while Bruce is not smart. Bruce is [MASK].",stupid
688,"Howard is invisible, while Charlie is not invisible. Charlie is [MASK].",visible
689,"Johnny is evil, while Jack is not evil. Jack is [MASK].",good
690,"Carl is bad, while Bruce is not bad. Bruce is [MASK].",good
691,"Alex is expensive, while Kenneth is not expensive. Kenneth is [MASK].",cheap
692,"Edwin is broken, while Ed is not broken. Ed is [MASK].",advance
693,"Bobby is smart, while Sam is not smart. Sam is [MASK].",stupid
694,"Andrew is sick, while Jeff is not sick. Jeff is [MASK].",well
695,"Andrew is shy, while Carl is not shy. Carl is [MASK].",confident
696,"Steve is professional, while Matt is not professional. Matt is [MASK].",amateur
697,"Charlie is unpredictable, while Matt is not unpredictable. Matt is [MASK].",predictable
698,"Keith is beautiful, while Tony is not beautiful. Tony is [MASK].",ugly
699,"Ron is excited, while Scott is not excited. Scott is [MASK].",quiet
700,"Frank is safe, while Benjamin is not safe. Benjamin is [MASK].",dangerous
701,"Jerry is effective, while James is not effective. James is [MASK].",ineffective
702,"Jim is old, while Al is not old. Al is [MASK].",young
703,"Al is sweet, while Dan is not sweet. Dan is [MASK].",dry
704,"Harry is stupid, while Nick is not stupid. Nick is [MASK].",intelligent
705,"Philip is emotional, while Larry is not emotional. Larry is [MASK].",cerebral
706,"Brian is conservative, while Patrick is not conservative. Patrick is [MASK].",liberal
707,"Tony is smart, while Christopher is not smart. Christopher is [MASK].",stupid
708,"Paul is uncomfortable, while Adam is not uncomfortable. Adam is [MASK].",comfortable
709,"Johnny is incomplete, while Samuel is not incomplete. Samuel is [MASK].",complete
710,"Al is poor, while Michael is not poor. Michael is [MASK].",rich
711,"Albert is cautious, while Carl is not cautious. Carl is [MASK].",brave
712,"Sam is dangerous, while Tony is not dangerous. Tony is [MASK].",safe
713,"Bill is smart, while Dick is not smart. Dick is [MASK].",stupid
714,"Christopher is ugly, while Bob is not ugly. Bob is [MASK].",beautiful
715,"Ralph is perfect, while Anthony is not perfect. Anthony is [MASK].",imperfect
716,"Johnny is active, while Paul is not active. Paul is [MASK].",passive
717,"John is conservative, while Andrew is not conservative. Andrew is [MASK].",liberal
718,"Daniel is made, while Eric is not made. Eric is [MASK].",break
719,"Mike is similar, while Frank is not similar. Frank is [MASK].",different
720,"Ed is similar, while Albert is not similar. Albert is [MASK].",different
721,"Richard is unknown, while Brian is not unknown. Brian is [MASK].",known
722,"Frank is cold, while Andrew is not cold. Andrew is [MASK].",hot
723,"Howard is sold, while Jonathan is not sold. Jonathan is [MASK].",buy
724,"Eric is fine, while Jim is not fine. Jim is [MASK].",harsh
725,"Martin is afraid, while Tim is not afraid. Tim is [MASK].",fearless
726,"Patrick is unhappy, while Mike is not unhappy. Mike is [MASK].",happy
727,"Tony is individual, while Richard is not individual. Richard is [MASK].",common
728,"Robert is smart, while Jack is not smart. Jack is [MASK].",stupid
729,"Robert is unknown, while Philip is not unknown. Philip is [MASK].",known
730,"Ralph is shy, while Alan is not shy. Alan is [MASK].",confident
731,"Benjamin is positive, while Howard is not positive. Howard is [MASK].",negative
732,"Francis is brave, while Fred is not brave. Fred is [MASK].",timid
733,"Steven is worthless, while Hugh is not worthless. Hugh is [MASK].",valuable
734,"John is below, while Don is not below. Don is [MASK].",upstairs
735,"Ryan is slow, while William is not slow. William is [MASK].",fast
736,"Martin is smart, while Eric is not smart. Eric is [MASK].",stupid
737,"Charles is poor, while Thomas is not poor. Thomas is [MASK].",rich
738,"Walter is sick, while Martin is not sick. Martin is [MASK].",well
739,"Steven is slow, while Richard is not slow. Richard is [MASK].",fast
740,"Simon is warm, while Samuel is not warm. Samuel is [MASK].",cool
741,"Steven is cool, while Fred is not cool. Fred is [MASK].",warm
742,"Larry is cold, while Peter is not cold. Peter is [MASK].",hot
743,"Alexander is invisible, while Robert is not invisible. Robert is [MASK].",visible
744,"John is solid, while Carl is not solid. Carl is [MASK].",liquid
745,"Donald is difficult, while George is not difficult. George is [MASK].",easy
746,"Ben is similar, while Keith is not similar. Keith is [MASK].",different
747,"Jim is well, while Roy is not well. Roy is [MASK].",ill
748,"Kevin is rude, while Charles is not rude. Charles is [MASK].",polite
749,"Greg is rich, while Charlie is not rich. Charlie is [MASK].",poor
750,"Ian is corrupt, while Scott is not corrupt. Scott is [MASK].",straight
751,"Bill is positive, while Don is not positive. Don is [MASK].",negative
752,"Tony is new, while Fred is not new. Fred is [MASK].",old
753,"Alan is bad, while Hugh is not bad. Hugh is [MASK].",good
754,"Jeff is here, while Benjamin is not here. Benjamin is [MASK].",there
755,"Roger is bad, while Ian is not bad. Ian is [MASK].",good
756,"Thomas is below, while Al is not below. Al is [MASK].",upstairs
757,"Alexander is dirty, while Ian is not dirty. Ian is [MASK].",clean
758,"Jimmy is patient, while Charles is not patient. Charles is [MASK].",impatient
759,"Bruce is humble, while Steve is not humble. Steve is [MASK].",proud
760,"Edward is friendly, while Mark is not friendly. Mark is [MASK].",hostile
761,"Mark is shy, while Ryan is not shy. Ryan is [MASK].",confident
762,"Frank is friendly, while John is not friendly. John is [MASK].",hostile
763,"Alan is bad, while Chris is not bad. Chris is [MASK].",good
764,"Thomas is strong, while Steven is not strong. Steven is [MASK].",weak
765,"Daniel is cool, while Bruce is not cool. Bruce is [MASK].",warm
766,"Bob is stupid, while Hugh is not stupid. Hugh is [MASK].",intelligent
767,"David is honest, while Donald is not honest. Donald is [MASK].",dishonest
768,"Gary is humble, while Frederick is not humble. Frederick is [MASK].",proud
769,"Alex is courageous, while Martin is not courageous. Martin is [MASK].",fearful
770,"Tony is dishonest, while Christopher is not dishonest. Christopher is [MASK].",honest
771,"Jerry is poor, while Joseph is not poor. Joseph is [MASK].",rich
772,"Charlie is complete, while Arthur is not complete. Arthur is [MASK].",incomplete
773,"Scott is positive, while Matt is not positive. Matt is [MASK].",negative
774,"Ken is emotional, while Edwin is not emotional. Edwin is [MASK].",cerebral
775,"John is organic, while Edwin is not organic. Edwin is [MASK].",functional
776,"Gary is fine, while Steve is not fine. Steve is [MASK].",harsh
777,"Joseph is reliable, while Keith is not reliable. Keith is [MASK].",unreliable
778,"Harry is shy, while Jeff is not shy. Jeff is [MASK].",confident
779,"Thomas is wrong, while James is not wrong. James is [MASK].",right
780,"Bill is dangerous, while Simon is not dangerous. Simon is [MASK].",safe
781,"Ray is afraid, while Harry is not afraid. Harry is [MASK].",fearless
782,"Colin is functional, while Roger is not functional. Roger is [MASK].",organic
783,"Daniel is conservative, while Al is not conservative. Al is [MASK].",liberal
784,"Ben is close, while Scott is not close. Scott is [MASK].",distant
785,"Howard is visible, while Roger is not visible. Roger is [MASK].",invisible
786,"Carl is ugly, while Jonathan is not ugly. Jonathan is [MASK].",beautiful
787,"Martin is humble, while Francis is not humble. Francis is [MASK].",proud
788,"Greg is emotional, while John is not emotional. John is [MASK].",intellectual
789,"Stephen is rude, while Harold is not rude. Harold is [MASK].",polite
790,"Ed is afraid, while Matthew is not afraid. Matthew is [MASK].",fearless
791,"Alex is big, while Bill is not big. Bill is [MASK].",small
792,"Dick is easy, while Henry is not easy. Henry is [MASK].",difficult
793,"Frederick is perfect, while Jimmy is not perfect. Jimmy is [MASK].",imperfect
794,"Kevin is professional, while Sam is not professional. Sam is [MASK].",amateur
795,"Bobby is different, while James is not different. James is [MASK].",similar
796,"Edwin is below, while Donald is not below. Donald is [MASK].",upstairs
797,"Fred is sold, while Dave is not sold. Dave is [MASK].",buy
798,"Martin is quiet, while Scott is not quiet. Scott is [MASK].",active
799,"Jonathan is reliable, while Ben is not reliable. Ben is [MASK].",unreliable
800,"Anthony is young, while Albert is not young. Albert is [MASK].",old
801,"Hugh is intense, while Greg is not intense. Greg is [MASK].",mild
802,"William is young, while Robert is not young. Robert is [MASK].",old
803,"Carl is familiar, while Dick is not familiar. Dick is [MASK].",strange
804,"Colin is excited, while Bill is not excited. Bill is [MASK].",quiet
805,"Walter is unpredictable, while Chris is not unpredictable. Chris is [MASK].",predictable
806,"Hugh is ugly, while Alex is not ugly. Alex is [MASK].",beautiful
807,"Simon is old, while Edwin is not old. Edwin is [MASK].",young
808,"Alan is well, while Gary is not well. Gary is [MASK].",ill
809,"Gary is impatient, while Mark is not impatient. Mark is [MASK].",patient
810,"Johnny is beautiful, while James is not beautiful. James is [MASK].",ugly
811,"Joseph is proud, while Hugh is not proud. Hugh is [MASK].",humble
812,"Edwin is individual, while Martin is not individual. Martin is [MASK].",common
813,"Roger is made, while Bobby is not made. Bobby is [MASK].",break
814,"Ralph is hot, while Hugh is not hot. Hugh is [MASK].",cold
815,"Billy is nice, while Hugh is not nice. Hugh is [MASK].",nasty
816,"Ralph is brave, while Mark is not brave. Mark is [MASK].",timid
817,"Tim is invisible, while Samuel is not invisible. Samuel is [MASK].",visible
818,"Alan is shy, while Stephen is not shy. Stephen is [MASK].",confident
819,"Bill is well, while Al is not well. Al is [MASK].",ill
820,"Bruce is emotional, while Carl is not emotional. Carl is [MASK].",intellectual
821,"Steven is honest, while Jonathan is not honest. Jonathan is [MASK].",dishonest
822,"Tim is rude, while Joe is not rude. Joe is [MASK].",polite
823,"Scott is smart, while Jerry is not smart. Jerry is [MASK].",stupid
824,"Ray is cold, while Keith is not cold. Keith is [MASK].",hot
825,"Donald is intense, while Walter is not intense. Walter is [MASK].",mild
826,"Jay is made, while Jerry is not made. Jerry is [MASK].",break
827,"Ken is active, while Ian is not active. Ian is [MASK].",quiet
828,"Bruce is slow, while Jimmy is not slow. Jimmy is [MASK].",fast
829,"Jeff is humble, while Donald is not humble. Donald is [MASK].",proud
830,"Jim is like, while Kenneth is not like. Kenneth is [MASK].",different
831,"Greg is active, while Albert is not active. Albert is [MASK].",quiet
832,"David is passive, while John is not passive. John is [MASK].",active
833,"Jason is active, while Jimmy is not active. Jimmy is [MASK].",passive
834,"Alexander is familiar, while Jerry is not familiar. Jerry is [MASK].",strange
835,"George is clean, while Benjamin is not clean. Benjamin is [MASK].",dirty
836,"Steve is reliable, while Alex is not reliable. Alex is [MASK].",unreliable
837,"Harold is made, while Nick is not made. Nick is [MASK].",break
838,"Albert is strange, while Fred is not strange. Fred is [MASK].",familiar
839,"Daniel is friendly, while Roger is not friendly. Roger is [MASK].",hostile
840,"Robert is smart, while Kevin is not smart. Kevin is [MASK].",stupid
841,"Roger is expensive, while Thomas is not expensive. Thomas is [MASK].",cheap
842,"Colin is worthless, while Bill is not worthless. Bill is [MASK].",valuable
843,"Paul is progressive, while Jeff is not progressive. Jeff is [MASK].",conservative
844,"Paul is dependent, while Matthew is not dependent. Matthew is [MASK].",independent
845,"Hugh is functional, while Greg is not functional. Greg is [MASK].",organic
846,"Tim is unstable, while Alex is not unstable. Alex is [MASK].",stable
847,"Walter is popular, while Paul is not popular. Paul is [MASK].",unpopular
848,"Bobby is available, while Steve is not available. Steve is [MASK].",unavailable
849,"Jay is hard, while Frederick is not hard. Frederick is [MASK].",soft
850,"Matt is like, while Don is not like. Don is [MASK].",different
851,"Ray is dependent, while John is not dependent. John is [MASK].",independent
852,"Sam is evil, while Louis is not evil. Louis is [MASK].",good
853,"Albert is effective, while Larry is not effective. Larry is [MASK].",ineffective
854,"Christopher is much, while Dick is not much. Dick is [MASK].",little
855,"Tony is shown, while Jerry is not shown. Jerry is [MASK].",hide
856,"Louis is bad, while Larry is not bad. Larry is [MASK].",good
857,"Charles is hot, while Michael is not hot. Michael is [MASK].",cold
858,"Jay is unhappy, while Keith is not unhappy. Keith is [MASK].",happy
859,"Jim is different, while Dick is not different. Dick is [MASK].",similar
860,"Thomas is unpredictable, while Dave is not unpredictable. Dave is [MASK].",predictable
861,"William is courageous, while Edwin is not courageous. Edwin is [MASK].",fearful
862,"Joe is popular, while Frederick is not popular. Frederick is [MASK].",unpopular
863,"Samuel is here, while Simon is not here. Simon is [MASK].",there
864,"Jerry is sensitive, while Charlie is not sensitive. Charlie is [MASK].",insensitive
865,"Martin is intense, while Christopher is not intense. Christopher is [MASK].",mild
866,"Brian is well, while Kevin is not well. Kevin is [MASK].",ill
867,"Bruce is fine, while Chris is not fine. Chris is [MASK].",harsh
868,"Ralph is proud, while Howard is not proud. Howard is [MASK].",humble
869,"Matthew is conservative, while Jimmy is not conservative. Jimmy is [MASK].",progressive
870,"Bill is specific, while Johnny is not specific. Johnny is [MASK].",general
871,"Martin is organic, while Steven is not organic. Steven is [MASK].",functional
872,"Hugh is irresponsible, while Michael is not irresponsible. Michael is [MASK].",responsible
873,"Ron is big, while Johnny is not big. Johnny is [MASK].",small
874,"Greg is unpredictable, while Bruce is not unpredictable. Bruce is [MASK].",predictable
875,"Dave is perfect, while Martin is not perfect. Martin is [MASK].",imperfect
876,"Dan is dependent, while Eric is not dependent. Eric is [MASK].",independent
877,"Thomas is positive, while Daniel is not positive. Daniel is [MASK].",negative
878,"Kenneth is cold, while Martin is not cold. Martin is [MASK].",hot
879,"Robert is pessimistic, while Fred is not pessimistic. Fred is [MASK].",optimistic
880,"Scott is well, while Francis is not well. Francis is [MASK].",ill
881,"Alex is gone, while Steven is not gone. Steven is [MASK].",come
882,"Ralph is strange, while Bob is not strange. Bob is [MASK].",familiar
883,"Harry is hot, while Kevin is not hot. Kevin is [MASK].",cold
884,"Kenneth is hopeful, while Fred is not hopeful. Fred is [MASK].",hopeless
885,"Bill is effective, while Louis is not effective. Louis is [MASK].",ineffective
886,"Michael is fat, while Ryan is not fat. Ryan is [MASK].",lean
887,"Simon is hungry, while Henry is not hungry. Henry is [MASK].",thirsty
888,"Roger is conservative, while Jay is not conservative. Jay is [MASK].",liberal
889,"Keith is private, while Gary is not private. Gary is [MASK].",public
890,"Thomas is smart, while Joseph is not smart. Joseph is [MASK].",stupid
891,"Tony is expensive, while Harry is not expensive. Harry is [MASK].",cheap
892,"Jay is ill, while Larry is not ill. Larry is [MASK].",good
893,"Ralph is emotional, while Mike is not emotional. Mike is [MASK].",intellectual
894,"Michael is conspicuous, while Albert is not conspicuous. Albert is [MASK].",invisible
895,"Gary is ill, while Greg is not ill. Greg is [MASK].",good
896,"Donald is [MASK], while Scott is not. Scott is familiar.",strange
897,"Matthew is [MASK], while Tim is not. Tim is fearful.",courageous
898,"Jason is [MASK], while Gary is not. Gary is amateur.",professional
899,"Tim is [MASK], while Bob is not. Bob is proud.",humble
900,"Kenneth is [MASK], while Jim is not. Jim is soft.",hard
901,"Brian is [MASK], while Colin is not. Colin is shy.",confident
902,"Dan is [MASK], while Jim is not. Jim is known.",unknown
903,"Arthur is [MASK], while Frank is not. Frank is come.",gone
904,"Dan is [MASK], while Benjamin is not. Benjamin is lean.",fat
905,"Joseph is [MASK], while Patrick is not. Patrick is safe.",dangerous
906,"Andrew is [MASK], while Matthew is not. Matthew is confident.",shy
907,"William is [MASK], while Fred is not. Fred is rich.",poor
908,"Michael is [MASK], while Gary is not. Gary is visible.",invisible
909,"Lawrence is [MASK], while Samuel is not. Samuel is well.",sick
910,"Roy is [MASK], while Nick is not. Nick is hide.",shown
911,"Kevin is [MASK], while Philip is not. Philip is smart.",stupid
912,"Eric is [MASK], while Jerry is not. Jerry is shy.",confident
913,"Joseph is [MASK], while Gary is not. Gary is organic.",functional
